구분,죄종,발생검거,건수
중부,살인,발생,0
중부,살인,검거,0
중부,강도,발생,6
중부,강도,검거,6
중부,강간,발생,173
중부,강간,검거,87
중부,절도,발생,1061
중부,절도,검거,489
중부,폭력,발생,1198
중부,폭력,검거,1024
종로,살인,발생,5
종로,살인,검거,3
종로,강도,발생,5
종로,강도,검거,4
종로,강간,발생,131
종로,강간,검거,103
종로,절도,발생,910
종로,절도,검거,360
종로,폭력,발생,1220
종로,폭력,검거,1059
남대문,살인,발생,1
남대문,살인,검거,0
남대문,강도,발생,3
남대문,강도,검거,3
남대문,강간,발생,94
남대문,강간,검거,62
남대문,절도,발생,785
남대문,절도,검거,400
남대문,폭력,발생,863
남대문,폭력,검거,780
서대문,살인,발생,4
서대문,살인,검거,4
서대문,강도,발생,1
서대문,강도,검거,2
서대문,강간,발생,202
서대문,강간,검거,181
서대문,절도,발생,1230
서대문,절도,검거,719
서대문,폭력,발생,1676
서대문,폭력,검거,1393
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,5
혜화,강도,검거,4
혜화,강간,발생,122
혜화,강간,검거,70
혜화,절도,발생,734
혜화,절도,검거,298
혜화,폭력,발생,923
혜화,폭력,검거,778
용산,살인,발생,1
용산,살인,검거,1
용산,강도,발생,5
용산,강도,검거,4
용산,강간,발생,327
용산,강간,검거,289
용산,절도,발생,1346
용산,절도,검거,626
용산,폭력,발생,2381
용산,폭력,검거,2016
성북,살인,발생,5
성북,살인,검거,5
성북,강도,발생,5
성북,강도,검거,5
성북,강간,발생,107
성북,강간,검거,72
성북,절도,발생,701
성북,절도,검거,332
성북,폭력,발생,1005
성북,폭력,검거,855
동대문,살인,발생,11
동대문,살인,검거,10
동대문,강도,발생,3
동대문,강도,검거,5
동대문,강간,발생,165
동대문,강간,검거,149
동대문,절도,발생,1547
동대문,절도,검거,1017
동대문,폭력,발생,2249
동대문,폭력,검거,2093
마포,살인,발생,3
마포,살인,검거,3
마포,강도,발생,8
마포,강도,검거,8
마포,강간,발생,500
마포,강간,검거,429
마포,절도,발생,2094
마포,절도,검거,837
마포,폭력,발생,2673
마포,폭력,검거,2222
영등포,살인,발생,15
영등포,살인,검거,13
영등포,강도,발생,5
영등포,강도,검거,5
영등포,강간,발생,455
영등포,강간,검거,267
영등포,절도,발생,2304
영등포,절도,검거,1108
영등포,폭력,발생,3190
영등포,폭력,검거,2619
성동,살인,발생,1
성동,살인,검거,1
성동,강도,발생,3
성동,강도,검거,3
성동,강간,발생,132
성동,강간,검거,106
성동,절도,발생,1072
성동,절도,검거,543
성동,폭력,발생,1559
성동,폭력,검거,1378
동작,살인,발생,1
동작,살인,검거,1
동작,강도,발생,7
동작,강도,검거,9
동작,강간,발생,396
동작,강간,검거,173
동작,절도,발생,1226
동작,절도,검거,593
동작,폭력,발생,1700
동작,폭력,검거,1466
광진,살인,발생,6
광진,살인,검거,5
광진,강도,발생,13
광진,강도,검거,8
광진,강간,발생,261
광진,강간,검거,208
광진,절도,발생,2220
광진,절도,검거,1168
광진,폭력,발생,2146
광진,폭력,검거,1900
서부,살인,발생,3
서부,살인,검거,3
서부,강도,발생,2
서부,강도,검거,2
서부,강간,발생,93
서부,강간,검거,79
서부,절도,발생,553
서부,절도,검거,375
서부,폭력,발생,904
서부,폭력,검거,844
강북,살인,발생,8
강북,살인,검거,8
강북,강도,발생,7
강북,강도,검거,5
강북,강간,발생,208
강북,강간,검거,153
강북,절도,발생,1014
강북,절도,검거,635
강북,폭력,발생,2156
강북,폭력,검거,2023
금천,살인,발생,5
금천,살인,검거,5
금천,강도,발생,5
금천,강도,검거,5
금천,강간,발생,240
금천,강간,검거,212
금천,절도,발생,1141
금천,절도,검거,674
금천,폭력,발생,1874
금천,폭력,검거,1676
중랑,살인,발생,5
중랑,살인,검거,5
중랑,강도,발생,3
중랑,강도,검거,4
중랑,강간,발생,172
중랑,강간,검거,144
중랑,절도,발생,1533
중랑,절도,검거,813
중랑,폭력,발생,2858
중랑,폭력,검거,2426
강남,살인,발생,6
강남,살인,검거,6
강남,강도,발생,13
강남,강도,검거,16
강남,강간,발생,456
강남,강간,검거,366
강남,절도,발생,2069
강남,절도,검거,787
강남,폭력,발생,2229
강남,폭력,검거,1942
관악,살인,발생,8
관악,살인,검거,7
관악,강도,발생,7
관악,강도,검거,6
관악,강간,발생,379
관악,강간,검거,323
관악,절도,발생,1979
관악,절도,검거,1152
관악,폭력,발생,3152
관악,폭력,검거,2666
강서,살인,발생,11
강서,살인,검거,11
강서,강도,발생,4
강서,강도,검거,6
강서,강간,발생,316
강서,강간,검거,253
강서,절도,발생,1888
강서,절도,검거,1113
강서,폭력,발생,2916
강서,폭력,검거,2544
강동,살인,발생,5
강동,살인,검거,6
강동,강도,발생,10
강동,강도,검거,12
강동,강간,발생,172
강동,강간,검거,169
강동,절도,발생,1645
강동,절도,검거,949
강동,폭력,발생,2429
강동,폭력,검거,2109
종암,살인,발생,2
종암,살인,검거,2
종암,강도,발생,3
종암,강도,검거,3
종암,강간,발생,66
종암,강간,검거,62
종암,절도,발생,643
종암,절도,검거,371
종암,폭력,발생,897
종암,폭력,검거,772
구로,살인,발생,7
구로,살인,검거,8
구로,강도,발생,8
구로,강도,검거,6
구로,강간,발생,328
구로,강간,검거,181
구로,절도,발생,1725
구로,절도,검거,869
구로,폭력,발생,2827
구로,폭력,검거,2344
서초,살인,발생,8
서초,살인,검거,8
서초,강도,발생,9
서초,강도,검거,2
서초,강간,발생,405
서초,강간,검거,223
서초,절도,발생,1448
서초,절도,검거,659
서초,폭력,발생,1889
서초,폭력,검거,1636
양천,살인,발생,3
양천,살인,검거,2
양천,강도,발생,3
양천,강도,검거,2
양천,강간,발생,138
양천,강간,검거,122
양천,절도,발생,1590
양천,절도,검거,756
양천,폭력,발생,2148
양천,폭력,검거,1778
송파,살인,발생,6
송파,살인,검거,6
송파,강도,발생,1
송파,강도,검거,3
송파,강간,발생,288
송파,강간,검거,242
송파,절도,발생,2274
송파,절도,검거,1026
송파,폭력,발생,3007
송파,폭력,검거,2593
노원,살인,발생,4
노원,살인,검거,4
노원,강도,발생,9
노원,강도,검거,7
노원,강간,발생,180
노원,강간,검거,155
노원,절도,발생,1538
노원,절도,검거,757
노원,폭력,발생,2478
노원,폭력,검거,2124
방배,살인,발생,1
방배,살인,검거,2
방배,강도,발생,4
방배,강도,검거,5
방배,강간,발생,65
방배,강간,검거,60
방배,절도,발생,364
방배,절도,검거,176
방배,폭력,발생,515
방배,폭력,검거,466
은평,살인,발생,3
은평,살인,검거,3
은평,강도,발생,2
은평,강도,검거,2
은평,강간,발생,137
은평,강간,검거,134
은평,절도,발생,834
은평,절도,검거,559
은평,폭력,발생,1352
은평,폭력,검거,1206
도봉,살인,발생,1
도봉,살인,검거,1
도봉,강도,발생,3
도봉,강도,검거,3
도봉,강간,발생,104
도봉,강간,검거,115
도봉,절도,발생,633
도봉,절도,검거,417
도봉,폭력,발생,1258
도봉,폭력,검거,1116
수서,살인,발생,1
수서,살인,검거,1
수서,강도,발생,7
수서,강도,검거,8
수서,강간,발생,151
수서,강간,검거,130
수서,절도,발생,1061
수서,절도,검거,596
수서,폭력,발생,1727
수서,폭력,검거,1469
